log_id,timestamp,performed_by,transaction_type,ref_no,product_code,product_name,qty
"TXN-1784379048445181","2026-07-18 12:50:48","Global Admin","Adjustment","DW41-ADJ-3926","8001","PPR1","-9"
"TXN-1784382870666711","2026-07-18 13:54:30","Global Admin","Adjustment","DE40-ADJ-4761","8001","PPR1","-1"
"TXN-1784382900472163","2026-07-18 13:55:00","Global Admin","Adjustment","DE12-ADJ-5036","8001","PPR1","-10"
"TXN-1784382902603529","2026-07-18 13:55:02","Global Admin","Adjustment","DE12-ADJ-8177","8001","PPR1","-10"
"TXN-1784434172289890","2026-07-19 04:09:32","Global Admin","GOODS RECEIPT","DE40-ADJ-7965","8001","PPR1","10"
"TXN-1784434175768420","2026-07-19 04:09:35","Global Admin","GOODS RECEIPT","DW41-ADJ-1902","8001","PPR1","10"
"TXN-1784434177813277","2026-07-19 04:09:37","Global Admin","GOODS RECEIPT","DE12-ADJ-182","8001","PPR1","10"
"TXN-1784440300747397","2026-07-19 05:51:40","Staff User","GOODS RECEIPT","DE12-RCV-2980","8001","PPR1","5"
"TXN-178444031423776","2026-07-19 05:51:54","Staff User","STOCK TRANSFER OUT","DE40-TRF-5560","8001","PPR1","-5"
